名稱,電話,地址,網址,mail,LINE,備註,lat,lng,status
全國集團生命禮儀,0800-622-666,台北市大安區辛亥路三段21號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,25.02144,121.54475,OK
全國集團生命禮儀,0800-622-666,台北市內湖區成功路二段456號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,25.07221,121.58956,OK
全國集團生命禮儀,0800-622-666,台北市士林區明德路335號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,25.1122,121.52103,OK
全國集團生命禮儀,0800-622-666,台北市文山區興德路47號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,25.00141,121.55654,OK
全國集團生命禮儀,0800-622-666,新北市板橋區新海路431號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,25.02771,121.45817,OK
全國集團生命禮儀,0800-622-666,新北市新莊區中港路339號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,25.05233,121.45137,OK
全國集團生命禮儀,0800-622-666,新北市中和區景安路203號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,24.99058,121.50405,OK
全國集團生命禮儀,0800-622-666,新北市三重區忠孝路二段65號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,25.07062,121.4849,OK
全國集團生命禮儀,0800-622-666,新北市新店區中正路409號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,24.97755,121.53422,OK
全國集團生命禮儀,0800-622-666,桃園市桃園區文中路19號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,24.9957,121.29444,OK
